Year,Hepatitis B,Measles ,Diphtheria 
2000,74.03529411764706,4663.792349726776,73.62777777777778
2001,73.9578947368421,4640.262295081967,76.66111111111111
2002,76.52212389380531,3204.754098360656,78.88397790055248
2003,74.09923664122137,3708.792349726776,78.86740331491713
2004,77.98550724637681,2805.497267759563,79.8232044198895
2005,80.91156462585035,3200.551912568306,81.67403314917127
2006,81.89403973509934,2063.224043715847,82.23626373626374
2007,81.58490566037736,1557.5409836065573,84.31868131868131
2008,83.6441717791411,1523.2295081967213,84.85714285714286
2009,84.27710843373494,1522.6065573770493,85.06043956043956
2010,80.73214285714286,1878.72131147541,82.74175824175825
2011,84.04117647058824,1963.5628415300546,87.08743169398907
2012,82.63529411764706,1244.3825136612022,85.90710382513662
2013,83.14835164835165,1455.1502590673574,86.20725388601036
2014,83.11560693641619,1831.207650273224,84.08196721311475
2015,82.42528735632185,1502.9016393442623,84.63387978142076
